icb_code,org_code,dimension_name,source,planning_ref,measure_type,metric_value,ref_key
QNQ,QNQ,Apr-24,current_actuals,E.B.35,Numerator,221,E.B.35Numerator
QNQ,QNQ,Apr-24,current_actuals,E.B.35,Percentage,71.52103559870551,E.B.35Percentage
QKS,RN7,Apr-24,current_actuals,E.B.35,Denominator,83,E.B.35Denominator
QKS,RN7,Apr-24,current_actuals,E.B.35,Numerator,60.5,E.B.35Numerator
QKS,RN7,Apr-24,current_actuals,E.B.35,Percentage,72.89156626506023,E.B.35Percentage
QNX,RYR,Apr-24,current_actuals,E.B.35,Denominator,550.5,E.B.35Denominator
QNX,RYR,Apr-24,current_actuals,E.B.35,Numerator,329,E.B.35Numerator
QNX,RYR,Apr-24,current_actuals,E.B.35,Percentage,59.763851044505,E.B.35Percentage
QXU,QXU,Apr-24,current_actuals,E.B.35,Denominator,548,E.B.35Denominator
QXU,QXU,Apr-24,current_actuals,E.B.35,Numerator,443,E.B.35Numerator
QXU,QXU,Apr-24,current_actuals,E.B.35,Percentage,80.83941605839416,E.B.35Percentage
QKS,QKS,Apr-24,current_actuals,E.B.35,Denominator,869,E.B.35Denominator
QKS,QKS,Apr-24,current_actuals,E.B.35,Numerator,629,E.B.35Numerator
QKS,QKS,Apr-24,current_actuals,E.B.35,Percentage,72.38204833141542,E.B.35Percentage
QRL,QRL,Aug-24,current_actuals,E.B.35,Denominator,967,E.B.35Denominator
QRL,QRL,Aug-24,current_actuals,E.B.35,Numerator,709,E.B.35Numerator
QRL,QRL,Aug-24,current_actuals,E.B.35,Percentage,73.3195449844881,E.B.35Percentage
QRL,RHM,Aug-24,current_actuals,E.B.35,Denominator,259,E.B.35Denominator
QRL,RHM,Aug-24,current_actuals,E.B.35,Numerator,201,E.B.35Numerator
QRL,RHM,Aug-24,current_actuals,E.B.35,Percentage,77.60617760617761,E.B.35Percentage
QNX,RPC,Aug-24,current_actuals,E.B.35,Denominator,75.5,E.B.35Denominator
QNX,RPC,Aug-24,current_actuals,E.B.35,Numerator,59.5,E.B.35Numerator
QNX,RPC,Aug-24,current_actuals,E.B.35,Percentage,78.80794701986756,E.B.35Percentage
QKS,RPA,Aug-24,current_actuals,E.B.35,Denominator,127,E.B.35Denominator
QKS,RPA,Aug-24,current_actuals,E.B.35,Numerator,91,E.B.35Numerator
QKS,RPA,Aug-24,current_actuals,E.B.35,Percentage,71.65354330708661,E.B.35Percentage
QKS,RWF,Aug-24,current_actuals,E.B.35,Denominator,228,E.B.35Denominator
QKS,RWF,Aug-24,current_actuals,E.B.35,Numerator,194.5,E.B.35Numerator
QKS,RWF,Aug-24,current_actuals,E.B.35,Percentage,85.30701754385966,E.B.35Percentage
QKS,RVV,Aug-24,current_actuals,E.B.35,Denominator,365.5,E.B.35Denominator
QKS,RVV,Aug-24,current_actuals,E.B.35,Numerator,267,E.B.35Numerator
QKS,RVV,Aug-24,current_actuals,E.B.35,Percentage,73.05061559507524,E.B.35Percentage
QNX,QNX,Aug-24,current_actuals,E.B.35,Denominator,1020,E.B.35Denominator
QNX,QNX,Aug-24,current_actuals,E.B.35,Numerator,667,E.B.35Numerator
QNX,QNX,Aug-24,current_actuals,E.B.35,Percentage,65.3921568627451,E.B.35Percentage
QU9,RXQ,Aug-24,current_actuals,E.B.35,Denominator,183,E.B.35Denominator
QU9,RXQ,Aug-24,current_actuals,E.B.35,Numerator,120,E.B.35Numerator
QU9,RXQ,Aug-24,current_actuals,E.B.35,Percentage,65.57377049180327,E.B.35Percentage
QRL,R1F,Aug-24,current_actuals,E.B.35,Denominator,70.5,E.B.35Denominator
QRL,R1F,Aug-24,current_actuals,E.B.35,Numerator,39.5,E.B.35Numerator
QRL,R1F,Aug-24,current_actuals,E.B.35,Percentage,56.02836879432624,E.B.35Percentage
QU9,RHW,Aug-24,current_actuals,E.B.35,Denominator,192.5,E.B.35Denominator
QU9,RHW,Aug-24,current_actuals,E.B.35,Numerator,144,E.B.35Numerator
QU9,RHW,Aug-24,current_actuals,E.B.35,Percentage,74.8051948051948,E.B.35Percentage
QRL,RHU,Aug-24,current_actuals,E.B.35,Denominator,362.5,E.B.35Denominator
QRL,RHU,Aug-24,current_actuals,E.B.35,Numerator,263.5,E.B.35Numerator
QRL,RHU,Aug-24,current_actuals,E.B.35,Percentage,72.6896551724138,E.B.35Percentage
QNX,RXC,Aug-24,current_actuals,E.B.35,Denominator,276.5,E.B.35Denominator
QNX,RXC,Aug-24,current_actuals,E.B.35,Numerator,201,E.B.35Numerator
QNX,RXC,Aug-24,current_actuals,E.B.35,Percentage,72.69439421338156,E.B.35Percentage
QNQ,RDU,Aug-24,current_actuals,E.B.35,Denominator,304,E.B.35Denominator
QNQ,RDU,Aug-24,current_actuals,E.B.35,Numerator,221,E.B.35Numerator
QNQ,RDU,Aug-24,current_actuals,E.B.35,Percentage,72.69736842105263,E.B.35Percentage
QXU,RTP,Aug-24,current_actuals,E.B.35,Denominator,237,E.B.35Denominator
QXU,RTP,Aug-24,current_actuals,E.B.35,Numerator,166.5,E.B.35Numerator
QXU,RTP,Aug-24,current_actuals,E.B.35,Percentage,70.25316455696202,E.B.35Percentage
QRL,RN5,Aug-24,current_actuals,E.B.35,Denominator,251,E.B.35Denominator
QRL,RN5,Aug-24,current_actuals,E.B.35,Numerator,187.5,E.B.35Numerator
QRL,RN5,Aug-24,current_actuals,E.B.35,Percentage,74.7011952191235,E.B.35Percentage
QXU,RTK,Aug-24,current_actuals,E.B.35,Denominator,150.5,E.B.35Denominator
