icb_code,org_code,dimension_name,planning_ref,measure_type,ref_key,source,total_var,perc_var
QU9,RXQ,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,-3.8742439803720217,-3.8742439803720217
QU9,RXQ,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,-3.8742439803720217,-3.8742439803720217
QRL,R1F,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,26.5,0.4818181818181818
QRL,R1F,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,26.5,0.4818181818181818
QRL,R1F,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,26.5,0.4818181818181818
QRL,R1F,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,17.5,0.5
QRL,R1F,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,17.5,0.5
QRL,R1F,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,17.5,0.5
QRL,R1F,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,0.7808142777467921,0.7808142777467921
QRL,R1F,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,0.7808142777467921,0.7808142777467921
QRL,R1F,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,0.7808142777467921,0.7808142777467921
QU9,RHW,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,80.5,0.7
QU9,RHW,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,80.5,0.7
QU9,RHW,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,80.5,0.7
QU9,RHW,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,58.5,0.7697368421052632
QU9,RHW,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,58.5,0.7697368421052632
QU9,RHW,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,58.5,0.7697368421052632
QU9,RHW,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,2.7109974424552377,2.7109974424552377
QU9,RHW,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,2.7109974424552377,2.7109974424552377
QU9,RHW,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,2.7109974424552377,2.7109974424552377
QRL,RHU,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,-74.5,-0.21594202898550724
QRL,RHU,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,-62.5,-0.18768768768768768
